id,CNN,KNN,LDA,NN,forest,SVM,xgboost,true class
47484,0,8,1,8,7,6,7,6
30908,4,4,4,4,4,4,4,4
49031,7,7,7,7,7,7,7,7
35190,5,5,5,5,5,5,5,5
51849,7,7,8,7,7,7,8,7
38821,5,5,5,5,5,5,5,5
11287,1,1,1,1,1,1,1,1
33962,5,5,5,5,5,5,5,5
61123,0,8,8,8,8,8,8,8
19849,1,2,1,3,1,3,3,2
59924,8,8,8,8,8,8,8,8
19390,2,2,1,2,2,2,2,2
54569,7,7,7,7,7,7,7,7
12999,1,1,1,1,1,1,1,1
47247,2,1,1,6,6,2,6,6
38035,5,5,5,5,5,5,5,5
9950,2,2,1,2,2,2,2,1
24902,1,1,1,1,1,1,1,2
25882,2,2,1,1,2,2,2,2
27679,1,1,1,3,1,3,1,3
383,8,0,7,7,0,0,7,0
44571,1,5,1,1,5,5,5,5
7979,1,1,1,1,1,1,1,1
53428,7,7,7,7,7,7,7,7
28285,3,1,1,1,3,1,1,3
4355,2,1,1,1,1,1,1,1
30978,4,4,4,4,4,4,4,4
57926,8,7,7,7,7,7,7,8
17350,1,1,1,1,1,1,2,1
51609,7,7,7,7,7,7,7,7
61373,8,8,8,8,8,8,8,8
4181,1,1,1,1,1,1,1,1
53149,1,1,1,1,1,1,1,7
12861,2,2,1,2,1,2,2,1
7515,1,2,1,2,2,2,2,1
33328,5,5,5,5,5,5,5,5
36461,5,5,5,5,5,5,5,5
19024,2,2,1,2,2,2,2,2
34693,5,5,5,5,5,5,5,5
13328,1,1,1,1,1,1,1,1
31064,4,4,4,4,4,4,4,4
38505,5,5,5,5,5,5,5,5
40578,0,5,5,5,5,5,5,5
15157,1,1,1,1,1,1,1,1
54685,7,7,7,7,7,7,7,7
50094,7,7,7,7,7,7,7,7
16360,1,1,1,1,1,1,1,1
20851,2,2,1,2,2,1,2,2
14345,2,1,1,1,1,1,1,1
15437,1,1,1,1,1,1,1,1
28386,1,1,1,3,1,3,2,3
41821,5,5,5,5,5,5,5,5
49310,7,7,7,7,7,7,7,7
38492,5,5,5,5,5,5,5,5
47987,6,6,7,6,6,7,6,6
47825,6,1,1,1,6,6,1,6
58368,8,8,8,8,8,8,8,8
61017,8,8,8,8,8,8,8,8
33434,5,5,5,5,5,5,5,5
25464,2,2,1,2,2,2,2,2
8194,1,2,1,1,1,1,1,1
29453,4,4,4,4,4,4,4,4
1903,4,4,1,1,1,1,1,0
55063,7,7,7,7,7,7,7,7
4038,1,1,1,1,1,0,1,1
14437,1,1,1,1,1,1,1,1
43097,5,5,5,5,5,5,5,5
26998,5,5,5,5,5,5,5,3
25136,2,2,1,1,2,1,7,2
55553,7,7,7,7,7,7,7,7
592,8,0,8,8,8,8,8,0
29884,4,4,1,1,4,1,4,4
125,1,1,1,1,1,1,1,0
1079,0,0,7,0,0,0,0,0
46777,6,6,6,6,6,6,6,6
2772,1,1,1,1,1,1,1,1
4932,1,1,1,1,1,1,1,1
29354,4,4,4,4,4,4,4,4
24443,2,1,1,1,1,1,1,2
29643,4,4,4,4,4,4,4,4
5678,1,1,1,1,1,1,1,1
56725,7,7,7,7,7,7,7,7
7433,1,1,1,1,1,1,1,1
46873,6,6,6,6,6,6,6,6
30784,4,4,4,4,4,4,4,4
2871,1,1,1,1,1,1,1,1
12686,2,2,1,2,2,2,2,1
59147,0,0,8,8,8,8,8,8
11060,1,1,1,1,1,1,1,1
16819,1,1,1,1,1,1,1,1
12905,2,1,1,1,1,1,1,1
31944,5,5,5,5,5,5,5,5
42658,5,5,5,5,5,5,5,5
29583,4,4,4,4,4,4,4,4
47504,6,1,1,6,6,1,1,6
14809,1,1,1,1,1,1,1,1
43009,5,5,5,5,5,5,5,5
16305,1,1,1,1,1,1,1,1
23810,2,1,1,2,2,2,1,2
58409,8,8,7,8,8,8,8,8
