id,KNN,CNN,LDA,NN,forest,SVM,xgboost,true
47484,0,0,0,0,0,1,0,6
30908,1,1,1,1,1,1,1,4
49031,1,1,1,1,1,1,1,7
35190,1,1,1,1,1,1,1,5
51849,1,1,0,1,1,1,0,7
38821,1,1,1,1,1,1,1,5
11287,1,1,1,1,1,1,1,1
33962,1,1,1,1,1,1,1,5
61123,0,1,1,1,1,1,1,8
19849,0,1,0,0,0,0,0,2
59924,1,1,1,1,1,1,1,8
19390,1,1,0,1,1,1,1,2
54569,1,1,1,1,1,1,1,7
12999,1,1,1,1,1,1,1,1
47247,0,0,0,1,1,0,1,6
38035,1,1,1,1,1,1,1,5
9950,0,0,1,0,0,0,0,1
24902,0,0,0,0,0,0,0,2
25882,1,1,0,0,1,1,1,2
27679,0,0,0,1,0,1,0,3
383,0,1,0,0,1,1,0,0
44571,0,1,0,0,1,1,1,5
7979,1,1,1,1,1,1,1,1
53428,1,1,1,1,1,1,1,7
28285,1,0,0,0,1,0,0,3
4355,0,1,1,1,1,1,1,1
30978,1,1,1,1,1,1,1,4
57926,1,0,0,0,0,0,0,8
17350,1,1,1,1,1,1,0,1
51609,1,1,1,1,1,1,1,7
61373,1,1,1,1,1,1,1,8
4181,1,1,1,1,1,1,1,1
53149,0,0,0,0,0,0,0,7
12861,0,0,1,0,1,0,0,1
7515,1,0,1,0,0,0,0,1
33328,1,1,1,1,1,1,1,5
36461,1,1,1,1,1,1,1,5
19024,1,1,0,1,1,1,1,2
34693,1,1,1,1,1,1,1,5
13328,1,1,1,1,1,1,1,1
31064,1,1,1,1,1,1,1,4
38505,1,1,1,1,1,1,1,5
40578,0,1,1,1,1,1,1,5
15157,1,1,1,1,1,1,1,1
54685,1,1,1,1,1,1,1,7
50094,1,1,1,1,1,1,1,7
16360,1,1,1,1,1,1,1,1
20851,1,1,0,1,1,0,1,2
14345,0,1,1,1,1,1,1,1
15437,1,1,1,1,1,1,1,1
28386,0,0,0,1,0,1,0,3
41821,1,1,1,1,1,1,1,5
49310,1,1,1,1,1,1,1,7
38492,1,1,1,1,1,1,1,5
47987,1,1,0,1,1,0,1,6
47825,1,0,0,0,1,1,0,6
58368,1,1,1,1,1,1,1,8
61017,1,1,1,1,1,1,1,8
33434,1,1,1,1,1,1,1,5
25464,1,1,0,1,1,1,1,2
8194,1,0,1,1,1,1,1,1
29453,1,1,1,1,1,1,1,4
1903,0,0,0,0,0,0,0,0
55063,1,1,1,1,1,1,1,7
4038,1,1,1,1,1,0,1,1
14437,1,1,1,1,1,1,1,1
43097,1,1,1,1,1,1,1,5
26998,0,0,0,0,0,0,0,3
25136,1,1,0,0,1,0,0,2
55553,1,1,1,1,1,1,1,7
592,0,1,0,0,0,0,0,0
29884,1,1,0,0,1,0,1,4
125,0,0,0,0,0,0,0,0
1079,1,1,0,1,1,1,1,0
46777,1,1,1,1,1,1,1,6
2772,1,1,1,1,1,1,1,1
4932,1,1,1,1,1,1,1,1
29354,1,1,1,1,1,1,1,4
24443,1,0,0,0,0,0,0,2
29643,1,1,1,1,1,1,1,4
5678,1,1,1,1,1,1,1,1
56725,1,1,1,1,1,1,1,7
7433,1,1,1,1,1,1,1,1
46873,1,1,1,1,1,1,1,6
30784,1,1,1,1,1,1,1,4
2871,1,1,1,1,1,1,1,1
12686,0,0,1,0,0,0,0,1
59147,0,0,1,1,1,1,1,8
11060,1,1,1,1,1,1,1,1
16819,1,1,1,1,1,1,1,1
12905,0,1,1,1,1,1,1,1
31944,1,1,1,1,1,1,1,5
42658,1,1,1,1,1,1,1,5
29583,1,1,1,1,1,1,1,4
47504,1,0,0,1,1,0,0,6
14809,1,1,1,1,1,1,1,1
43009,1,1,1,1,1,1,1,5
16305,1,1,1,1,1,1,1,1
23810,1,0,0,1,1,1,0,2
58409,1,1,0,1,1,1,1,8
51860,1,1,1,1,1,1,1,7
28776,1,1,1,1,1,1,1,4
11237,0,1,1,1,1,1,1,1
32199,1,1,1,1,1,1,1,5
52848,1,1,1,1,1,1,1,7
37765,1,1,1,1,1,1,1,5
46098,1,0,0,1,0,0,1,6
26619,0,0,0,0,0,0,0,3
52536,1,1,1,1,1,1,1,7
36784,0,0,0,0,0,0,0,5
31816,1,1,1,1,1,1,1,5
50757,1,1,1,1,1,1,1,7
17258,1,1,1,1,1,1,1,1
15746,1,1,1,1,1,1,1,1
53178,1,1,0,1,1,1,1,7
61397,0,1,0,1,1,1,1,8
54499,1,1,1,1,1,1,1,7
50270,1,1,1,1,1,1,1,7
17540,1,1,1,1,1,1,1,1
15817,1,1,1,1,1,1,1,1
60536,1,1,1,1,1,1,1,8
36310,0,1,1,1,1,1,1,5
38175,1,1,1,1,1,1,1,5
34731,1,0,1,1,1,1,1,5
56347,1,1,1,1,1,1,1,7
52015,1,1,1,1,1,1,1,7
47541,1,1,1,0,1,1,1,6
23276,1,1,0,1,1,1,1,2
51938,1,1,1,1,1,1,1,7
617,0,1,0,1,0,1,1,0
47316,0,0,0,0,0,0,0,6
49934,1,1,1,1,1,1,1,7
54505,1,1,1,1,1,1,1,7
9977,1,1,1,1,1,1,1,1
42490,1,1,1,1,1,1,1,5
17632,1,1,1,1,0,1,1,1
38244,1,1,1,1,1,1,1,5
33740,1,1,1,1,1,1,1,5
53125,1,1,1,1,1,0,1,7
48914,1,1,1,1,1,1,1,7
59172,1,1,1,1,1,1,1,8
1023,1,1,0,1,1,1,1,0
56886,1,1,1,1,1,1,1,7
31566,1,1,1,1,1,1,1,5
22351,0,0,0,0,0,0,0,2
33292,1,1,1,1,1,1,1,5
30351,1,1,1,1,1,1,1,4
60173,1,1,1,1,1,1,1,8
33200,1,1,1,1,1,1,1,5
51514,0,1,1,1,1,1,1,7
33311,0,1,1,1,1,1,1,5
22463,1,0,0,1,0,0,1,2
46655,1,1,1,1,1,1,1,6
26350,0,0,0,1,1,0,1,3
52446,1,1,1,1,1,1,1,7
11373,0,1,1,1,1,1,1,1
1650,1,1,0,1,1,1,1,0
46471,1,1,1,1,1,1,1,6
40106,1,1,1,1,1,1,1,5
11148,1,1,1,1,1,1,1,1
7399,1,1,1,1,1,1,1,1
34719,1,1,1,1,1,1,1,5
23069,1,0,0,1,0,1,1,2
34889,1,1,1,1,1,1,1,5
18520,1,0,0,0,0,0,1,2
24014,1,0,0,0,1,0,0,2
23847,1,1,0,0,1,0,1,2
15768,1,1,1,1,1,1,1,1
15155,1,0,1,1,1,0,1,1
23316,1,0,0,0,0,0,0,2
12195,1,1,1,1,0,1,1,1
4728,1,1,1,1,1,1,1,1
33058,1,1,1,1,1,1,0,5
55314,0,1,1,1,1,1,1,7
22980,1,1,0,1,1,1,0,2
49560,1,1,1,1,1,1,1,7
55934,1,1,1,1,1,1,1,7
42244,1,1,1,1,1,1,1,5
29879,1,1,1,1,1,1,1,4
472,0,1,0,0,0,0,0,0
55333,1,1,1,1,1,1,1,7
19493,1,0,0,0,1,0,0,2
22707,1,0,0,1,1,1,1,2
42787,1,1,1,1,1,1,1,5
45362,1,1,1,1,1,1,1,5
36886,1,1,1,1,1,1,1,5
53842,1,0,0,1,1,1,1,7
58121,0,0,0,0,0,0,0,8
41858,1,1,1,1,1,1,1,5
3632,1,1,1,1,1,1,1,1
4203,0,1,1,1,0,0,0,1
2266,1,0,1,1,1,1,1,1
11823,1,1,1,1,1,1,1,1
26076,0,0,0,0,0,0,0,3
59075,1,1,1,1,1,1,1,8
42129,1,0,0,1,1,0,1,5
33957,1,1,1,1,1,1,1,5
49993,1,1,1,1,1,1,1,7
45181,1,1,1,1,1,1,1,5
2720,1,1,1,0,0,1,1,1
9766,1,1,1,1,1,1,1,1
16650,1,1,1,1,1,1,1,1
40557,1,1,1,1,1,1,1,5
54624,1,1,1,1,1,1,1,7
31164,1,1,1,1,1,1,1,4
19741,0,0,0,0,1,1,1,2
34115,1,1,1,1,1,1,1,5
8156,0,1,1,1,1,0,1,1
26833,0,1,0,1,1,1,1,3
45288,1,1,1,1,1,1,1,5
41625,1,1,1,1,1,1,1,5
51187,0,0,0,0,1,0,0,7
14132,1,1,1,1,1,1,1,1
6369,1,1,1,1,0,1,1,1
50967,1,1,1,1,1,1,1,7
54259,1,1,1,1,1,1,1,7
2410,1,1,1,1,1,1,1,1
48588,1,1,1,1,1,1,1,7
23120,1,1,0,1,1,1,1,2
59195,1,1,1,1,1,1,1,8
30466,1,1,1,1,1,1,1,4
34916,1,1,1,1,1,1,1,5
42758,1,1,1,1,1,1,1,5
18229,1,1,0,1,1,0,0,2
